#;Муниципалитет;Подлежащих вакцинированию, кол.;Выделено вакцин, кол.;Вакцинировано кол.;Вакцинировано %;
1.;Махачкала город;451 788;184 452 ;130 933 ;28.98 % ;
2.;Буйнакск город;41 630;19 060 ;14 362 ;34.50 % ;
3.;Дагестанские Огни город;21 090;10 595 ;7 445 ;35.30 % ;
4.;Дербент город;77 978;26 560 ;21 671 ;27.79 % ;
5.;Избербаш город;38 007;15 350 ;9 480 ;24.94 % ;
6.;Каспийск город;67 594;22 754 ;15 279 ;22.60 % ;
7.;Кизилюрт город;27 347;15 410 ;10 394 ;38.01 % ;
8.;Кизляр город;35 259;15 370 ;8 012 ;22.72 % ;
9.;Хасавюрт город;76 138;29 446 ;22 792 ;29.94 % ;
10.;Южно-Сухокумск город;5 894;4 270 ;2 221 ;37.68 % ;
11.;Агульский район;4 868;4 005 ;1 686 ;34.63 % ;
12.;Акушинский район;26 587;9 490 ;5 137 ;19.32 % ;
13.;Ахвахский район;11 148;8 245 ;4 944 ;44.35 % ;
14.;Ахтынский район;18 042;8 308 ;5 855 ;32.45 % ;
15.;Бабаюртовский район;30 695;13 308 ;10 098 ;32.90 % ;
16.;Ботлихский район;31 043;12 120 ;9 916 ;31.94 % ;
17.;Буйнакский район;45 065;20 090 ;18 098 ;40.16 % ;
18.;Гергебильский район;11 620;8 520 ;7 069 ;60.83 % ;
19.;Гумбетовский район;9 658;7 430 ;6 818 ;70.59 % ;
20.;Гунибский район;13 754;8 720 ;6 000 ;43.62 % ;
21.;Дахадаевский район;19 089;9 110 ;7 289 ;38.18 % ;
22.;Дербентский район;60 258;28 097 ;23 533 ;39.05 % ;
23.;Докузпаринский район;7 760;7 360 ;5 814 ;74.92 % ;
24.;Казбековский район;28 598;12 268 ;9 603 ;33.58 % ;
25.;Кайтагский район;19 641;10 320 ;8 514 ;43.35 % ;
26.;Карабудахкентский район;47 368;14 425 ;8 209 ;17.33 % ;
27.;Каякентский район;29 556;15 100 ;14 480 ;48.99 % ;
28.;Кизилюртовский район;45 512;17 748 ;12 146 ;26.69 % ;
29.;Кизлярский район;49 196;16 824 ;10 896 ;22.15 % ;
30.;Кулинский район;5 569;4 450 ;1 508 ;27.08 % ;
31.;Кумторкалинский район;15 719;8 420 ;5 744 ;36.54 % ;
32.;Курахский район;8 121;5 768 ;4 024 ;49.55 % ;
33.;Лакский район;6 677;3 980 ;1 753 ;26.25 % ;
34.;Левашинский район;43 342;16 498 ;9 513 ;21.95 % ;
35.;Магарамкентский район;32 931;13 378 ;9 152 ;27.79 % ;
36.;Новолакский район;21 882;14 900 ;11 571 ;52.88 % ;
37.;Ногайский район;12 300;7 950 ;7 050 ;57.32 % ;
38.;Рутульский район;11 921;7 687 ;5 942 ;49.84 % ;
39.;Сергокалинский район;18 208;12 095 ;10 264 ;56.37 % ;
40.;Сулейман-Стальский район;28 941;11 478 ;7 310 ;25.26 % ;
41.;Табасаранский район;29 181;16 420 ;13 423 ;46.00 % ;
42.;Тарумовский район;21 239;14 013 ;9 791 ;46.10 % ;
43.;Тляратинский район;8 954;6 985 ;5 175 ;57.80 % ;
44.;Унцукульский район;15 497;8 040 ;6 350 ;40.98 % ;
45.;Хасавюртовский район;94 127;32 914 ;30 007 ;31.88 % ;
46.;Хивский район;10 523;9 060 ;8 241 ;78.31 % ;
47.;Хунзахский район;17 434;11 220 ;8 039 ;46.11 % ;
48.;Цумадинский район;12 835;4 880 ;1 587 ;12.36 % ;
49.;Цунтинский район;6 016;5 820 ;3 333 ;55.40 % ;
50.;Чародинский район;6 960;5 370 ;3 121 ;44.84 % ;
51.;Шамильский район;15 326;8 875 ;5 606 ;36.58 % ;
52.;Бежтинский участок район;4 657;3 350 ;1 770 ;38.01 % ;
